CustomerID,InvoiceDate,InvoiceNo,TotalAmount
10000,2011-10-24,INV216739,165.93
10000,2010-12-13,INV877572,106.54
10000,2011-04-20,INV356787,145.62
10000,2011-03-25,INV246316,136.05
10000,2011-01-22,INV809570,138.87
10001,2011-02-08,INV191161,95.01
10001,2011-02-14,INV542417,25.58
10002,2010-12-09,INV131244,36.76
10002,2010-12-24,INV329258,64.98
10003,2011-01-29,INV629903,803.6
10003,2011-05-04,INV127824,475.71
10003,2011-04-23,INV308496,843.48
10003,2011-06-02,INV781453,809.24
10003,2011-05-29,INV671412,632.54
10003,2011-03-18,INV331148,808.19
10003,2011-03-25,INV717889,1144.93
10003,2011-02-10,INV948749,937.15
10003,2010-12-02,INV895667,509.97
10003,2011-01-10,INV832052,749.45
10003,2011-03-19,INV456778,588.14
10003,2011-02-10,INV263032,685.2
10003,2011-01-25,INV900581,679.18
10003,2011-02-25,INV207175,664.28
10003,2010-12-24,INV498382,483.42
10003,2010-12-25,INV476417,745.7
10003,2011-02-27,INV733052,644.98
10003,2011-02-06,INV946335,93.95
10003,2010-12-12,INV865179,1252.95
10004,2011-07-24,INV662275,361.82
10004,2011-02-02,INV496922,233.32
10004,2011-01-10,INV678856,542.82
10004,2011-04-30,INV969693,564.57
10004,2011-10-18,INV748564,376.7
10004,2011-06-04,INV705397,470.26
10004,2011-03-09,INV838797,378.71
10004,2011-01-05,INV148050,215.51
10004,2011-11-04,INV338968,315.34
10004,2011-04-28,INV183667,374.03
10004,2011-03-30,INV205907,310.72
10004,2011-06-13,INV391476,336.19
10004,2011-07-21,INV766563,349.92
10005,2011-06-05,INV270555,233.72
10005,2011-06-08,INV472528,309.8
10005,2011-03-18,INV802729,88.22
10005,2011-04-16,INV835911,322.43
10005,2011-01-06,INV738720,339.16
10005,2011-02-26,INV660086,217.82
10005,2011-04-05,INV271339,52.47
10005,2011-07-25,INV497887,213.57
10005,2011-04-18,INV771088,234.92
10005,2011-09-12,INV330283,166.91
10005,2011-05-16,INV983794,202.51
10005,2010-12-29,INV340174,349.5
10005,2010-12-17,INV944151,287.32
10005,2011-05-11,INV520651,173.1
10006,2011-04-17,INV169403,181.46
10006,2011-03-19,INV694731,400.36
10006,2011-12-03,INV429963,292.52
10006,2011-03-19,INV787277,401.96
10006,2011-08-13,INV514850,550.79
10006,2011-10-26,INV581141,433.74
10006,2011-02-12,INV377746,343.46
10006,2011-02-10,INV358607,329.34
10006,2011-09-14,INV665158,311.19
10006,2011-04-14,INV883300,471.91
10006,2011-09-26,INV549245,282.9
10006,2011-09-25,INV518801,353.21
10006,2011-06-04,INV329974,353.84
10006,2011-02-09,INV634277,296.02
10006,2011-08-10,INV195325,205.0
10006,2010-12-25,INV214975,382.25
10006,2011-02-17,INV757924,342.11
10006,2011-02-20,INV930555,400.78
10006,2011-11-14,INV542666,292.7
