CustomerID,LastPurchase,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
10000,2011-10-24,5,693.01,47,5,3,3,533,Loyal Customers
10001,2011-02-14,2,120.59,299,2,1,1,211,Lost
10002,2010-12-24,2,101.74000000000001,351,1,1,1,111,Lost
10003,2011-06-02,19,13552.06,191,3,5,5,355,Loyal Customers
10004,2011-11-04,13,4829.91,36,5,5,5,555,Champions
10005,2011-09-12,14,3191.4500000000003,89,4,5,4,454,Champions
10006,2011-12-03,22,7885.94,7,5,5,5,555,Champions
10007,2011-02-26,3,199.39999999999998,287,2,2,2,222,Lost
10008,2011-06-14,10,6395.61,179,3,4,5,345,Loyal Customers
10009,2011-02-03,4,486.03,310,1,2,3,123,Hibernating
10010,2011-11-09,27,18472.47,31,5,5,5,555,Champions
10011,2011-02-14,1,60.48,299,2,1,1,211,Lost
10012,2010-12-08,2,124.9,367,1,1,1,111,Lost
10013,2011-10-20,12,3318.69,51,5,4,4,544,Champions
10014,2011-11-03,14,3379.34,37,5,5,4,554,Champions
10015,2011-09-08,9,2724.6,93,4,4,4,444,Champions
10016,2011-06-24,4,704.15,169,3,2,3,323,Lost
10017,2011-06-19,10,1777.3,174,3,4,4,344,Loyal Customers
10018,2011-06-10,6,907.02,183,3,3,3,333,Loyal Customers
10019,2011-03-06,2,468.95,279,2,1,3,213,Hibernating
10020,2011-07-16,13,5643.98,147,3,5,5,355,Loyal Customers
10021,2011-10-27,13,3188.64,44,5,5,4,554,Champions
10022,2011-09-05,2,354.77,96,4,1,2,412,Potential Loyalists
10023,2011-09-10,5,1077.32,91,4,3,3,433,Loyal Customers
10024,2011-08-08,11,2451.75,124,4,4,4,444,Champions
10025,2011-02-06,2,78.55,307,1,1,1,111,Lost
10026,2011-09-09,14,2226.12,92,4,5,4,454,Champions
10027,2011-06-18,4,773.78,175,3,2,3,323,Lost
10028,2011-07-12,13,12479.279999999999,151,3,5,5,355,Loyal Customers
10029,2011-10-25,13,10624.07,46,5,5,5,555,Champions
10030,2011-04-10,11,4784.14,244,2,4,5,245,At Risk
10031,2011-09-02,8,2264.1,99,4,3,4,434,Loyal Customers
10032,2011-11-01,21,15004.5,39,5,5,5,555,Champions
10033,2010-12-11,2,148.18,364,1,1,1,111,Lost
10034,2010-12-11,1,18.02,364,1,1,1,111,Lost
10035,2011-01-18,2,200.95,326,1,1,2,112,Lost
10036,2011-04-05,4,810.0,249,2,2,3,223,Hibernating
10037,2011-11-22,12,9125.58,18,5,4,5,545,Champions
10038,2011-02-28,2,140.95,285,2,1,1,211,Lost
10039,2011-08-01,10,1861.41,131,3,4,4,344,Loyal Customers
10040,2011-10-23,14,3187.75,48,5,5,4,554,Champions
10041,2011-07-27,11,1891.69,136,3,4,4,344,Loyal Customers
10042,2011-11-08,26,18659.99,32,5,5,5,555,Champions
10043,2010-12-27,2,85.6,348,1,1,1,111,Lost
10044,2011-10-30,11,2807.78,41,5,4,4,544,Champions
10045,2011-01-02,3,543.62,342,1,2,3,123,Hibernating
10046,2011-10-07,2,257.2,64,4,1,2,412,Potential Loyalists
10047,2011-06-28,4,846.27,165,3,2,3,323,Lost
10048,2011-05-23,5,1038.33,201,3,3,3,333,Loyal Customers
10049,2011-10-18,11,2554.0,53,5,4,4,544,Champions
10050,2011-01-13,1,34.33,331,1,1,1,111,Lost
10051,2011-02-01,3,269.22,312,1,2,2,122,Lost
10052,2010-12-21,2,169.86,354,1,1,1,111,Lost
10053,2010-12-05,1,69.89,370,1,1,1,111,Lost
10054,2011-07-28,13,9104.69,135,3,5,5,355,Loyal Customers
10055,2011-01-09,2,163.14999999999998,335,1,1,1,111,Lost
10056,2011-12-04,18,12099.4,6,5,5,5,555,Champions
10057,2011-11-05,14,4482.34,35,5,5,5,555,Champions
10058,2011-09-28,17,12077.26,73,4,5,5,455,Champions
10059,2011-08-03,3,312.67,129,4,2,2,422,Potential Loyalists
10060,2011-08-02,3,549.1800000000001,130,4,2,3,423,Potential Loyalists
10061,2011-09-22,7,1612.76,79,4,3,3,433,Loyal Customers
10062,2011-01-23,2,253.66000000000003,321,1,1,2,112,Lost
10063,2011-10-13,5,484.15999999999997,58,4,3,3,433,Loyal Customers
10064,2011-09-18,5,835.5899999999999,83,4,3,3,433,Loyal Customers
10065,2011-07-19,6,1000.66,144,3,3,3,333,Loyal Customers
10066,2011-11-17,8,3030.05,23,5,3,4,534,Loyal Customers
10067,2011-01-12,1,109.78,332,1,1,1,111,Lost
10068,2011-11-11,28,8630.06,29,5,5,5,555,Champions
10069,2010-12-24,1,49.0,351,1,1,1,111,Lost
10070,2011-02-01,4,179.29,312,1,2,2,122,Lost
10071,2011-09-08,13,3332.75,93,4,5,4,454,Champions
10072,2011-10-08,13,5090.06,63,4,5,5,455,Champions
10073,2011-02-09,3,238.68,304,1,2,2,122,Lost
10074,2010-12-15,2,181.55,360,1,1,2,112,Lost
10075,2011-01-09,2,72.63,335,1,1,1,111,Lost
10076,2011-06-02,2,194.53,191,3,1,2,312,Promising
10077,2011-11-03,26,13009.92,37,5,5,5,555,Champions
